standid,basalarea,stemdensity,dbh,meanheight,effLAI,stembiomass,woodybiomass,pred_basalarea,pred_meanheight,pred_effLAI,pred_stembiomass,set
24127413,18.42,432,24.72,19.18,2.08,66.62,82.15,0.0,0.0,0.0,0.0,training
24127641,22.43,405,28.24,22.11,2.69,90.05,109.63,0.0,0.0,0.0,0.0,training
24127414,20.26,414,26.28,20.81,3.89,76.06,95.47,0.0,0.0,0.0,0.0,training
24127605,40.5,938,25.87,21.21,7.28,159.4,196.54,0.0,0.0,0.0,0.0,training
24127415,19.94,623,22.79,18.01,3.77,67.55,85.73,0.0,0.0,0.0,0.0,training
24127468,22.49,956,19.02,16.0,3.26,71.19,88.89,0.0,0.0,0.0,0.0,training
24127375,17.91,950,16.72,13.21,1.81,45.8,58.85,0.0,0.0,0.0,0.0,training
24127609,30.69,1079,21.1,18.14,5.09,106.83,132.46,0.0,0.0,0.0,0.0,training
24127376,11.45,398,20.58,13.91,0.96,31.88,41.22,0.0,0.0,0.0,0.0,training
25037164,22.41,988,18.57,15.02,2.42,64.45,81.27,0.0,0.0,0.0,0.0,training
25037162,20.42,1146,16.58,13.89,2.22,55.38,69.91,0.0,0.0,0.0,0.0,training
25037122,23.48,774,21.17,16.8,1.88,74.18,92.06,0.0,0.0,0.0,0.0,training
25037123,10.27,1603,11.34,9.03,1.08,19.96,26.31,0.0,0.0,0.0,0.0,training
25037107,31.66,808,25.8,20.73,3.84,123.41,149.6,0.0,0.0,0.0,0.0,training
25037104,24.45,943,20.16,16.74,2.89,79.34,98.24,0.0,0.0,0.0,0.0,training
25037113,15.47,633,19.07,14.85,1.42,44.76,56.47,0.0,0.0,0.0,0.0,training
25037108,23.58,811,20.96,17.04,2.5,77.01,95.36,0.0,0.0,0.0,0.0,training
25037153,20.35,865,18.84,15.06,2.07,58.76,74.17,0.0,0.0,0.0,0.0,training
24126932,14.53,544,19.95,15.92,1.79,45.34,56.86,0.0,0.0,0.0,0.0,training
24126950,20.73,1012,17.8,15.92,3.32,67.23,82.92,0.0,0.0,0.0,0.0,training
24126891,21.7,387,28.72,23.09,4.22,90.35,111.56,0.0,0.0,0.0,0.0,training
24126889,21.24,549,24.51,20.05,4.26,77.24,97.13,0.0,0.0,0.0,0.0,training
24126951,17.0,632,20.0,16.19,2.02,53.76,67.09,0.0,0.0,0.0,0.0,training
24126879,22.02,755,20.96,16.83,2.66,71.11,88.75,0.0,0.0,0.0,0.0,training
24126882,24.04,616,24.03,19.96,2.47,91.1,110.35,0.0,0.0,0.0,0.0,training
24126877,19.08,487,23.77,18.67,1.75,67.46,82.83,0.0,0.0,0.0,0.0,training
24126885,23.27,716,22.29,18.67,3.89,83.02,103.04,0.0,0.0,0.0,0.0,training
24126878,31.45,990,21.92,19.9,6.04,132.0,159.52,0.0,0.0,0.0,0.0,training
24126881,30.6,1418,18.06,16.47,5.72,101.64,126.11,0.0,0.0,0.0,0.0,training
24129175,30.61,686,26.3,21.23,5.97,120.75,149.82,0.0,0.0,0.0,0.0,training
24129115,24.62,770,22.1,18.91,4.68,92.36,114.13,0.0,0.0,0.0,0.0,training
24129146,25.07,1618,16.2,14.48,3.34,72.64,90.29,0.0,0.0,0.0,0.0,training
24129118,22.18,1515,15.01,12.04,2.67,51.07,66.98,0.0,0.0,0.0,0.0,training
24129126,22.04,978,18.44,16.08,4.24,70.59,88.92,0.0,0.0,0.0,0.0,training
24129130,5.79,203,20.92,16.87,1.24,18.07,23.4,0.0,0.0,0.0,0.0,training
24127045,23.98,1152,17.67,15.23,4.06,72.78,91.81,0.0,0.0,0.0,0.0,training
24129106,19.47,596,21.62,17.49,2.05,64.52,80.01,0.0,0.0,0.0,0.0,training
24129163,27.72,1030,20.49,17.17,3.9,93.54,115.74,0.0,0.0,0.0,0.0,training
24127044,32.68,507,30.94,24.52,3.59,144.24,172.19,0.0,0.0,0.0,0.0,training
24127046,29.19,1329,18.1,16.58,5.12,99.16,122.06,0.0,0.0,0.0,0.0,training
24129145,20.47,1558,14.27,11.75,2.32,45.87,59.88,0.0,0.0,0.0,0.0,training
24129152,23.16,692,22.85,18.59,3.28,83.38,102.83,0.0,0.0,0.0,0.0,training
24129153,20.19,596,22.99,18.43,2.35,73.3,89.77,0.0,0.0,0.0,0.0,training
24129142,16.15,4467,9.16,8.78,1.9,30.26,39.6,0.0,0.0,0.0,0.0,training
24129188,9.07,2557,9.33,8.23,1.23,16.62,22.5,0.0,0.0,0.0,0.0,training
24129167,24.69,553,25.98,21.53,3.96,102.17,124.5,0.0,0.0,0.0,0.0,training
24129171,12.27,785,15.85,13.19,2.08,32.3,41.82,0.0,0.0,0.0,0.0,training
24129172,17.66,979,16.37,14.85,3.14,54.24,67.64,0.0,0.0,0.0,0.0,training
24129173,19.35,1723,13.4,12.29,2.93,49.23,62.29,0.0,0.0,0.0,0.0,training
24129119,24.41,595,25.36,20.6,5.0,89.8,113.01,0.0,0.0,0.0,0.0,training
24129109,11.03,6634,5.36,6.01,0.91,15.43,20.97,0.0,0.0,0.0,0.0,training
24129166,24.55,1083,18.65,15.97,4.65,77.31,97.8,0.0,0.0,0.0,0.0,training
